cell,method,auroc,auroc_ci_low,auroc_ci_high,auprc,tpr_at_5pct_fpr,fpr_at_threshold,n,n_malformed_excluded,layer
P-M,A,0.8480494101617126,0.8353752568735827,0.8582911526956046,0.8788162960630801,0.5838323353293413,0.0748502994011976,668.0,6,4
P-M,B,0.7833464806913121,0.750878451165489,0.8091272544730899,0.8450213625469172,0.5658682634730539,0.4880239520958084,668.0,6,4
W-M,A,0.7817777618415863,0.745780758377796,0.8161476278257315,0.8241242225501055,0.5179640718562875,0.15568862275449102,668.0,6,4
W-M,B,0.7961920470436372,0.774320621461035,0.8161371867044354,0.8520419954556795,0.5838323353293413,0.5299401197604791,668.0,6,4
P-C,A,0.7555308544587472,0.7416939108474278,0.7746990072276574,0.8049459930461378,0.44610778443113774,0.3083832335329341,668.0,6,4
P-C,B,0.7989709204345798,0.7784802161191123,0.8215041735312906,0.8553782103641434,0.5958083832335329,0.6437125748502994,668.0,6,4
W-C,A,0.7491842661981427,0.709953746364487,0.7879109553078117,0.7971128070919946,0.41317365269461076,0.27844311377245506,668.0,6,4
W-C,B,0.7872100111154935,0.7670221117636629,0.8058732833733728,0.8461641356062892,0.5718562874251497,0.4101796407185629,668.0,6,4
W-C,C_oracle,0.7934625198494386,,,,,,,0,3
