layer,best_C,mean_lofo_auroc,selected,held_family,fold_auroc,n_test
19,0.1,1.0,False,hiring,1.0,62
19,0.1,1.0,False,info_disclosure,1.0,32
19,0.1,1.0,False,procurement,1.0,64
19,0.1,1.0,False,research_funding,1.0,64
19,0.1,1.0,False,resource_allocation,1.0,64
19,0.1,1.0,False,search_ranking,1.0,62
20,0.1,1.0,False,hiring,1.0,62
20,0.1,1.0,False,info_disclosure,1.0,32
20,0.1,1.0,False,procurement,1.0,64
20,0.1,1.0,False,research_funding,1.0,64
20,0.1,1.0,False,resource_allocation,1.0,64
20,0.1,1.0,False,search_ranking,1.0,62
21,0.1,1.0,False,hiring,1.0,62
21,0.1,1.0,False,info_disclosure,1.0,32
21,0.1,1.0,False,procurement,1.0,64
21,0.1,1.0,False,research_funding,1.0,64
21,0.1,1.0,False,resource_allocation,1.0,64
21,0.1,1.0,False,search_ranking,1.0,62
22,0.1,1.0,False,hiring,1.0,62
22,0.1,1.0,False,info_disclosure,1.0,32
22,0.1,1.0,False,procurement,1.0,64
22,0.1,1.0,False,research_funding,1.0,64
22,0.1,1.0,False,resource_allocation,1.0,64
22,0.1,1.0,False,search_ranking,1.0,62
23,0.1,1.0,False,hiring,1.0,62
23,0.1,1.0,False,info_disclosure,1.0,32
23,0.1,1.0,False,procurement,1.0,64
23,0.1,1.0,False,research_funding,1.0,64
23,0.1,1.0,False,resource_allocation,1.0,64
23,0.1,1.0,False,search_ranking,1.0,62
24,0.1,1.0,False,hiring,1.0,62
24,0.1,1.0,False,info_disclosure,1.0,32
24,0.1,1.0,False,procurement,1.0,64
24,0.1,1.0,False,research_funding,1.0,64
24,0.1,1.0,False,resource_allocation,1.0,64
24,0.1,1.0,False,search_ranking,1.0,62
25,0.1,1.0,False,hiring,1.0,62
25,0.1,1.0,False,info_disclosure,1.0,32
25,0.1,1.0,False,procurement,1.0,64
25,0.1,1.0,False,research_funding,1.0,64
25,0.1,1.0,False,resource_allocation,1.0,64
25,0.1,1.0,False,search_ranking,1.0,62
26,0.1,1.0,False,hiring,1.0,62
26,0.1,1.0,False,info_disclosure,1.0,32
26,0.1,1.0,False,procurement,1.0,64
26,0.1,1.0,False,research_funding,1.0,64
26,0.1,1.0,False,resource_allocation,1.0,64
26,0.1,1.0,False,search_ranking,1.0,62
27,0.1,1.0,False,hiring,1.0,62
27,0.1,1.0,False,info_disclosure,1.0,32
27,0.1,1.0,False,procurement,1.0,64
27,0.1,1.0,False,research_funding,1.0,64
27,0.1,1.0,False,resource_allocation,1.0,64
27,0.1,1.0,False,search_ranking,1.0,62
28,0.1,1.0,False,hiring,1.0,62
28,0.1,1.0,False,info_disclosure,1.0,32
28,0.1,1.0,False,procurement,1.0,64
28,0.1,1.0,False,research_funding,1.0,64
28,0.1,1.0,False,resource_allocation,1.0,64
28,0.1,1.0,False,search_ranking,1.0,62
